About,O,
Address,Adresa,
Administrator,Administrator,
Apps,Aplikacije,
City,Grad,
Contact Person,Kontakt Osoba,
Country,Zemlja,
Email Address,Adresa e-pošte,
Employee,Personal,
Frappe Support,Frappe Podrška,
HR Manager,HR Upravitelj,
HR User,HR Korisnik,
Keyboard Shortcuts,Prečice Tastature,
Log out,Odjava,
Notes,Napomene,
Organization Name,Naziv Organizacije,
Phone Number,Broj Telefona,
Reload,Ponovo Učitaj,
Session Defaults,Standard Sesije,
State,Stanje,
System Health,Status Sistema,
System Manager,Upravitelj Sistema,
Toggle Full Width,Prebaci Punu Širinu,
Toggle Theme,Prebaci Temu,
Type,Tip,
User Settings,Korisničke Postavke,
View Website,Prikaži Web Stranicu,
Website,Web Stranica,
Workspace Settings,Postavke Radnog Prostora,
ZIP Code,Poštanski Broj,
