About,Über,
Address,Adresse,
Administrator,Administrator,
Apps,Apps,
City,Ort,
Contact Person,Kontaktperson,
Country,Land,
Email Address,E-Mail-Adresse,
Employee,Mitarbeiter,
Frappe Support,Frappe Support,
HR Manager,Personalwesen Leiter,
HR User,Personalwesen Benutzer,
Keyboard Shortcuts,Tastaturkürzel,
Log out,Abmelden,
Notes,Anmerkungen,
Organization Name,Firmenname,
Phone Number,Telefonnummer,
Reload,Neu laden,
Session Defaults,Sitzungsstandards,
System Health,Systemgesundheit,
System Manager,System-Manager,
Toggle Full Width,Breite wechseln,
Toggle Theme,Theme wechseln,
Type,Typ,
User Settings,Benutzereinstellungen,
View Website,Webseite anzeigen,
Website,Webseite,
Workspace Settings,Arbeitsbereich Einstellungen,
ZIP Code,Postleitzahl,
