About,Acerca de,
Address,Dirección,
Administrator,Administrador,
Apps,Apps,
City,Ciudad,
Contact Person,Persona de contacto,
Country,País,
Email Address,Dirección de correo electrónico,
Employee,Empleado,
Frappe Support,Soporte de Frappe,
HR Manager,Gerente de recursos humanos (RRHH),
HR User,Usuario de recursos humanos,
Keyboard Shortcuts,Atajos de teclado,
Log out,Cerrar sesión,
Notes,Notas,
Organization Name,Nombre de la Organización,
Phone Number,Número de teléfono,
Reload,Recargar,
Session Defaults,Valores predeterminados de sesión,
System Health,Salud del sistema,
System Manager,Administrador del sistema,
Toggle Full Width,Cambiar a ancho completo,
Toggle Theme,Cambiar tema,
Type,Tipo,
User Settings,Configuración del Usuario,
View Website,Ver Sitio Web,
Website,Sitio Web,
Workspace Settings,Ajustes del espacio de trabajo,
ZIP Code,Código postal,
