About,A Propos,
Address,Adresse,
Administrator,Administrateur,
City,Ville,
Contact Person,Personne à Contacter,
Country,Pays,
Email Address,Email,
Employee,Employé,
HR Manager,Responsable RH,
HR User,Chargé RH,
Keyboard Shortcuts,Raccourcis clavier,
Notes,Remarques,
Organization Name,Nom de l'Organisation,
Phone Number,Numéro de téléphone,
Reload,Recharger,
Session Defaults,Session par défaut,
System Manager,Responsable Système,
Toggle Full Width,Changer l&#39;affichage en pleine largeur,
Toggle Theme,Basculer le thème,
View Website,Voir Le Site Web,
Website,Site Web,
ZIP Code,Code postal,
