About,O,
Address,Adresa,
Administrator,Administrator,
Apps,Aplikacije,
City,Grad,
Contact Person,Osoba za kontakt,
Country,Država,
Email Address,Imejl adresa,
Employee,Zaposleno lice,
Frappe Support,Frappe podrška,
HR Manager,HR Menadžer,
HR User,HR Korisnik,
Keyboard Shortcuts,Prečice na tastaturi,
Log out,Odjavite se,
Notes,Napomene,
Organization Name,Naziv organizacije,
Phone Number,Broj telefona,
Reload,Ponovno učitavanje,
Session Defaults,Podrazumevane vrednosti sesije,
State,Stanje,
System Health,Stanje sistema,
System Manager,Sistem menadžer,
Toggle Full Width,Prebaci u punu širinu,
Toggle Theme,Promeni temu,
Type,Vrsta,
User Settings,Podešavanje korisnika,
View Website,Prikaži veb-sajt,
Website,Veb-sajt,
Workspace Settings,Podešavanje radnog prostora,
ZIP Code,Poštanski broj,
