About,Om,
Address,Adress,
Administrator,Administratör,
Apps,Appar,
City,Ort,
Contact Person,Kontakt Person,
Country,Land,
Email Address,E-post,
Employee,Personal,
Frappe Support,Frappe Support,
HR Manager,Personal Ansvarig,
HR User,Personal Användare,
Keyboard Shortcuts,Kort Kommando,
Log out,Logga Ut,
Notes,Anteckningar,
Organization Name,Organisation Namn,
Phone Number,Telefon Nummer,
Reload,Ladda om,
Session Defaults,Session Inställningar,
State,Tillstånd,
System Health,System Status,
System Manager,System Ansvarig,
Toggle Full Width,Växla Full Bredd,
Toggle Theme,Växla Tema,
Type,Typ,
User Settings,Användare Inställningar,
View Website,Visa Webbplats,
Website,Webbplats,
Workspace Settings,Arbetsyta Inställningar,
ZIP Code,Postnummer,
